scorer,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi,Jesusanmi
bodyparts,nose,nose,l_ear,l_ear,r_ear,r_ear,tailbase,tailbase
coords,x,y,x,y,x,y,x,y
labeled-data/mouse1/img0007.png,,,,,,,,
labeled-data/mouse1/img0420.png,,,,,,,,
labeled-data/mouse1/img0802.png,,,,,,,,
labeled-data/mouse1/img1093.png,147.61323580337026,206.84772804051076,143.96925648572915,229.62259877576759,158.84883869943027,221.42364531107512,175.24674562881518,278.5126546207855
labeled-data/mouse1/img1198.png,49.00685979424193,268.2090473823084,71.86164235663999,263.014778618127,59.39539732260468,242.23770356140156,92.01540516166372,222.2917115069451
labeled-data/mouse1/img1267.png,137.34001903275504,426.1667924657949,148.68430201372718,402.60558935146815,130.3589218136953,400.27855694511493,138.50353523593168,363.33691749425697
labeled-data/mouse1/img1398.png,235.26071160909777,128.293315159811,215.40102432795385,121.73415238805703,217.76961088442056,141.95823760096508,180.4188228785994,154.89436417859093
labeled-data/mouse1/img1671.png,116.14672841863309,250.73632637787372,112.8351823018996,224.9535744690202,100.77169287665619,234.17859579420633,93.2024446098368,175.0438437096799
labeled-data/mouse1/img1721.png,151.20059759148177,301.86137218674355,149.92200835722173,278.846765970063,137.39183386147346,288.56404415043926,115.91153472590493,234.351860617814
labeled-data/mouse1/img1778.png,142.37059281418806,368.94396281035387,154.51719053965832,347.0800869045073,136.2972939514529,344.04343747313976,139.63760832595722,296.36804140066886
labeled-data/mouse1/img1866.png,173.97638771230984,355.08029965509945,165.0262630724896,332.2574818235579,153.61485415671882,354.85654653910393,134.8195924130964,298.47076130823655
labeled-data/mouse1/img1959.png,230.12654133363623,258.54628505040796,213.20760929129037,268.8261424938586,225.20077630864947,285.3167471427273,175.9431260587818,311.87304553830813
labeled-data/mouse1/img2015.png,198.83298871461744,176.90743546571014,194.49217826430464,204.8126455034353,208.75484117247527,199.54166138519832,202.55368338631413,266.51416547573876
labeled-data/mouse1/img2151.png,215.79148110698958,148.11803302539795,201.46488873710595,165.89361985469802,215.79148110698958,174.3834523701846,195.097514350491,220.0163021409251
labeled-data/mouse1/img2407.png,164.36592407524108,116.33115393138269,163.8353095430232,143.92310960671415,180.28436004177848,133.84143349457383,183.46804723508598,194.86210469963382
labeled-data/mouse1/img2570.png,154.58715614123446,264.7081741647119,171.46453403346686,250.59254901848118,158.88321596834817,240.46612228314174,182.51154501747354,178.78697762243786
labeled-data/mouse1/img2674.png,128.8911245471946,120.85278886415074,149.07045913690354,116.70376679897694,138.69790397396906,98.59894324185491,176.41628638463993,77.28805717982586
